iter	Passed	Remaining
0	1	147
1	2	136
2	4	132
3	4	115
4	5	107
5	6	105
6	7	101
7	8	100
8	9	98
9	10	94
10	11	91
11	11	87
12	13	87
13	13	85
14	14	84
15	16	84
16	17	85
17	18	85
18	19	83
19	20	82
20	21	80
21	22	79
22	23	78
23	24	76
24	24	74
25	25	73
26	26	72
27	27	71
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	64
35	35	62
36	36	61
37	37	60
38	38	59
39	38	58
40	39	57
41	40	55
42	41	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	48	48
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	53	38
58	54	37
59	55	36
60	56	36
61	57	35
62	57	34
63	58	32
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	27
70	66	26
71	66	26
72	67	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	77	15
83	77	14
84	79	13
85	79	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
