iter	Passed	Remaining
0	0	908
1	1	895
2	2	841
3	3	806
4	3	786
5	4	769
6	5	757
7	5	741
8	6	734
9	7	725
10	8	721
11	8	723
12	9	717
13	10	716
14	10	720
15	11	723
16	12	721
17	13	716
18	13	713
19	14	712
20	15	710
21	15	706
22	16	705
23	17	701
24	17	698
25	18	695
26	19	691
27	19	688
28	20	689
29	21	689
30	22	689
31	22	688
32	23	687
33	24	686
34	24	686
35	25	688
36	26	691
37	27	690
38	28	690
39	28	689
40	29	689
41	30	688
42	30	687
43	31	686
44	32	685
45	32	684
46	33	684
47	34	683
48	35	683
49	35	683
50	36	683
51	37	683
52	38	682
53	38	681
54	39	681
55	40	681
56	41	683
57	42	683
58	42	683
59	43	681
60	44	680
61	44	678
62	45	680
63	46	679
64	47	678
65	47	677
66	48	676
67	49	674
68	50	674
69	50	673
70	51	672
71	52	671
72	52	670
73	53	668
74	54	666
75	54	665
76	55	665
77	56	666
78	57	666
79	57	665
80	58	664
81	59	663
82	59	658
83	60	656
84	60	655
85	61	654
86	62	653
87	62	652
88	63	651
89	64	650
90	65	649
91	65	649
92	66	647
93	67	646
94	67	644
95	68	642
96	68	640
97	69	638
98	70	637
99	70	637
100	71	636
101	72	635
102	72	633
103	73	631
104	73	630
105	74	628
106	75	626
107	75	624
108	76	622
109	76	620
110	77	619
111	77	617
112	78	615
113	78	613
114	79	612
115	80	611
116	80	608
117	81	606
118	81	605
119	82	603
120	82	601
121	83	599
122	83	597
123	84	595
124	85	595
125	85	595
126	86	594
127	87	593
128	87	592
129	88	590
130	88	589
131	89	587
132	89	585
133	90	584
134	90	582
135	91	580
136	91	579
137	92	577
138	93	576
139	94	578
140	94	576
141	95	574
142	95	572
143	96	571
144	96	569
145	97	568
146	97	566
147	98	565
148	98	563
149	99	562
150	99	561
151	100	560
152	101	559
153	101	558
154	102	556
155	102	555
156	103	554
157	103	552
158	104	551
159	104	550
160	105	547
161	105	546
162	106	545
163	106	543
164	107	542
165	107	542
166	108	541
167	109	541
168	110	541
169	110	540
170	111	540
171	112	539
172	112	539
173	113	539
174	114	538
175	115	539
176	115	539
177	116	538
178	117	537
179	117	536
180	118	535
181	118	534
182	119	532
183	119	531
184	120	530
185	120	528
186	121	527
187	121	526
188	122	525
189	122	524
190	123	523
191	123	521
192	124	520
193	125	519
194	125	518
195	126	517
196	126	516
197	127	515
198	127	513
199	128	512
200	128	511
201	129	511
202	130	511
203	131	511
204	131	510
205	132	509
206	132	508
207	133	507
208	133	506
209	134	505
210	134	504
211	135	503
212	136	502
213	136	501
214	137	500
215	137	499
216	138	498
217	138	497
218	139	496
219	139	495
220	140	494
221	140	493
222	141	492
223	141	491
224	142	490
225	142	489
226	143	488
227	144	488
228	145	488
229	145	488
230	146	487
231	147	487
232	147	486
233	148	486
234	149	485
235	149	484
236	150	483
237	150	482
238	151	481
239	151	480
240	152	480
241	153	479
242	153	478
243	154	477
244	154	476
245	155	475
246	155	474
247	156	474
248	156	473
249	157	472
250	158	471
251	158	471
252	159	471
253	160	471
254	161	470
255	161	470
256	162	469
257	163	469
258	163	468
259	164	468
260	165	468
261	165	467
262	166	466
263	167	465
264	167	464
265	168	464
266	168	463
267	169	462
268	169	461
269	170	460
270	170	459
271	171	459
272	172	458
273	172	457
274	173	456
275	174	456
276	174	456
277	175	455
278	176	455
279	176	454
280	177	453
281	177	452
282	178	451
283	178	450
284	179	450
285	180	449
286	180	448
287	181	448
288	181	447
289	182	446
290	183	446
291	183	445
292	184	444
293	185	444
294	185	443
295	186	443
296	186	442
297	187	441
298	188	441
299	189	441
300	189	440
301	190	439
302	190	439
303	191	438
304	192	437
305	192	437
306	193	436
307	193	435
308	194	434
309	194	433
310	195	432
311	195	432
312	196	431
313	197	430
314	197	429
315	198	428
316	198	428
317	199	427
318	199	426
319	200	426
320	201	425
321	201	424
322	202	424
323	203	423
324	203	423
325	204	422
326	205	422
327	205	421
328	206	420
329	206	420
330	207	419
331	208	418
332	208	418
333	209	417
334	209	416
335	210	415
336	211	415
337	211	415
338	212	414
339	213	413
340	213	412
341	214	412
342	214	411
343	215	410
344	215	409
345	216	408
346	216	408
347	217	407
348	218	407
349	219	406
350	219	406
351	220	405
352	220	404
353	221	404
354	222	403
355	222	402
356	223	402
357	223	401
358	224	401
359	225	400
360	225	399
361	226	399
362	227	398
363	227	397
364	228	396
